,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
66,0,0.0,0.01010720399997922,"[1, 0, 0, 1, 1]",300,0.4,512
67,1,10.0,0.0326228669999864,"[0, 1, 1, 0, 1]",300,0.4,512
68,2,10.0,0.07794496799999706,"[0, 1, 1, 0, 1]",300,0.4,512
69,4,10.0,0.14596475099997974,"[0, 1, 1, 0, 1]",300,0.4,512
70,8,10.0,0.2629086229999871,"[0, 1, 1, 0, 1]",300,0.4,512
71,16,10.0,0.4691298669999924,"[0, 1, 1, 0, 1]",300,0.4,512
72,32,10.0,0.8525203359999978,"[0, 1, 1, 0, 1]",300,0.4,512
73,64,10.0,1.6015149289999897,"[0, 1, 1, 0, 1]",300,0.4,512
74,128,10.0,3.1138555069999825,"[0, 1, 1, 0, 1]",300,0.4,512
75,256,10.0,6.119089806000005,"[0, 1, 1, 0, 1]",300,0.4,512
76,512,10.0,11.993980042999993,"[0, 1, 1, 0, 1]",300,0.4,512
77,0,0.0,0.009924003000008952,"[1, 0, 1, 1, 1]",300,0.5,512
78,1,10.0,0.03217764200002193,"[0, 1, 1, 0, 1]",300,0.5,512
79,2,10.0,0.07877797800000508,"[0, 1, 1, 0, 1]",300,0.5,512
80,4,10.0,0.1463416729999949,"[0, 1, 1, 0, 1]",300,0.5,512
81,8,10.0,0.25859979700001645,"[0, 1, 1, 0, 1]",300,0.5,512
82,16,10.0,0.4638483600000143,"[0, 1, 1, 0, 1]",300,0.5,512
83,32,10.0,0.8456048930000009,"[0, 1, 1, 0, 1]",300,0.5,512
84,64,10.0,1.6041263599999809,"[0, 1, 1, 0, 1]",300,0.5,512
85,128,10.0,3.069672964000034,"[0, 1, 1, 0, 1]",300,0.5,512
86,256,10.0,6.045684058000035,"[0, 1, 1, 0, 1]",300,0.5,512
87,512,10.0,11.984431042000011,"[0, 1, 1, 0, 1]",300,0.5,512
88,0,0.0,0.011423170999989907,"[1, 1, 1, 1, 1]",300,0.6,512
89,1,10.0,0.03524670999996715,"[0, 1, 1, 0, 1]",300,0.6,512
90,2,10.0,0.08597159300001067,"[0, 1, 1, 0, 1]",300,0.6,512
91,4,10.0,0.15747839899995597,"[0, 1, 1, 0, 1]",300,0.6,512
92,8,10.0,0.2746650180000074,"[0, 1, 1, 0, 1]",300,0.6,512
93,16,10.0,0.48224423299996033,"[0, 1, 1, 0, 1]",300,0.6,512
94,32,10.0,0.8763876799999935,"[0, 1, 1, 0, 1]",300,0.6,512
95,64,10.0,1.6366404179999563,"[0, 1, 1, 0, 1]",300,0.6,512
96,128,10.0,3.209354754000003,"[0, 1, 1, 0, 1]",300,0.6,512
97,256,10.0,6.2819620230000055,"[0, 1, 1, 0, 1]",300,0.6,512
98,512,10.0,12.383880040999998,"[0, 1, 1, 0, 1]",300,0.6,512
