,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters
45,1,7.0,0.00031138100001726343,"[0, 0, 1, 1, 0]",exponential,250,0.005,0.001,249.99961077405297,250,512
46,2,9.0,0.01468467700001952,"[0, 1, 1, 1, 0]",exponential,250,0.005,0.001,249.98164482760768,250,512
47,4,8.0,0.029632720000023482,"[1, 0, 1, 1, 0]",exponential,250,0.005,0.001,249.962961843921,250,512
48,8,8.0,0.04434553800001595,"[1, 0, 1, 1, 0]",exponential,250,0.005,0.001,249.94457422244187,250,512
49,16,6.0,0.059640539000014314,"[1, 1, 1, 0, 0]",exponential,250,0.005,0.001,249.92546044075107,250,512
50,32,0.0,0.07698314500001402,"[0, 1, 0, 1, 1]",exponential,250,0.005,0.001,249.90378958638843,250,512
51,64,9.0,0.09386820400001739,"[0, 1, 1, 1, 0]",exponential,250,0.005,0.001,249.88269227581682,250,512
52,128,0.0,0.11410791900001982,"[1, 1, 1, 0, 1]",exponential,250,0.005,0.001,249.85740578294144,250,512
53,256,6.0,0.13953883900001074,"[0, 1, 0, 1, 0]",exponential,250,0.005,0.001,249.8256372842503,250,512
54,512,0.0,0.17993693300002178,"[0, 0, 1, 1, 1]",exponential,250,0.005,0.001,249.77517998247575,250,512
55,0,1.0,7.64170000024933e-05,"[1, 0, 0, 0, 0]",exponential,500,0.005,0.001,499.99980895753646,500,512
56,1,0.0,0.0003132790000108798,"[0, 0, 0, 0, 0]",exponential,500,0.005,0.001,499.99921680311337,500,512
57,2,1.0,0.017643949000017756,"[1, 0, 0, 0, 0]",exponential,500,0.005,0.001,499.95589207312355,500,512
58,4,1.0,0.03466967500000351,"[1, 0, 0, 0, 0]",exponential,500,0.005,0.001,499.9133333244807,500,512
59,8,0.0,0.051628547000007075,"[1, 0, 0, 1, 1]",exponential,500,0.005,0.001,499.8709452904845,500,512
60,16,7.0,0.06899689200000125,"[1, 1, 0, 1, 0]",exponential,500,0.005,0.001,499.8275375201482,500,512
61,32,0.0,0.08656201299999111,"[1, 1, 0, 0, 1]",exponential,500,0.005,0.001,499.78364179188253,500,512
62,64,5.0,0.10518715800000678,"[0, 0, 0, 0, 1]",exponential,500,0.005,0.001,499.73710124499223,500,512
63,128,3.0,0.12645264299999326,"[0, 0, 1, 0, 0]",exponential,500,0.005,0.001,499.683968310634,500,512
64,256,9.0,0.15388572099999465,"[0, 1, 1, 1, 0]",exponential,500,0.005,0.001,499.61543366464207,500,512
65,512,9.0,0.19612996899999757,"[0, 0, 0, 1, 1]",exponential,500,0.005,0.001,499.5099154174601,500,512
66,0,9.0,7.927000001473061e-05,"[0, 0, 0, 1, 1]",exponential,1000,0.005,0.001,999.9996036500785,1000,512
67,1,0.0,0.0004235549999975774,"[1, 0, 0, 1, 1]",exponential,1000,0.005,0.001,999.9978822272425,1000,512
68,2,0.0,0.020094523000011577,"[1, 0, 0, 0, 1]",exponential,1000,0.005,0.001,999.8995324322041,1000,512
69,4,3.0,0.041415637999989485,"[1, 1, 0, 0, 0]",exponential,1000,0.005,0.001,999.7929432492085,1000,512
70,8,3.0,0.06299107600000298,"[1, 1, 0, 0, 0]",exponential,1000,0.005,0.001,999.685094213239,1000,512
71,16,5.0,0.08363485399999604,"[1, 0, 0, 1, 0]",exponential,1000,0.005,0.001,999.5819131526737,1000,512
72,32,4.0,0.10598466799999073,"[1, 0, 1, 0, 0]",exponential,1000,0.005,0.001,999.4702170445744,1000,512
73,64,7.0,0.12893419499999936,"[0, 1, 0, 0, 1]",exponential,1000,0.005,0.001,999.3555367806858,1000,512
74,128,7.0,0.1543968439999901,"[0, 0, 1, 1, 0]",exponential,1000,0.005,0.001,999.2283136831543,1000,512
75,256,8.0,0.18678307600001176,"[1, 0, 1, 1, 0]",exponential,1000,0.005,0.001,999.0665205832403,1000,512
76,512,5.0,0.23199243700000238,"[1, 0, 0, 1, 0]",exponential,1000,0.005,0.001,998.8407103110868,1000,512
77,0,10.0,0.00012525899998649948,"[0, 1, 1, 0, 1]",exponential,2500,0.005,0.001,2499.9984342629905,2500,512
78,1,0.0,0.0004491889999940213,"[0, 1, 1, 1, 1]",exponential,2500,0.005,0.001,2499.994385143805,2500,512
79,2,0.0,0.022969501999995146,"[0, 0, 1, 1, 1]",exponential,2500,0.005,0.001,2499.7128977118073,2500,512
80,4,0.0,0.0451045319999821,"[0, 0, 1, 1, 1]",exponential,2500,0.005,0.001,2499.436256920809,2500,512
81,8,1.0,0.06732176899998876,"[1, 0, 0, 0, 0]",exponential,2500,0.005,0.001,2499.1586195035034,2500,512
82,16,0.0,0.09019601599999305,"[1, 1, 1, 1, 1]",exponential,2500,0.005,0.001,2498.8728039905777,2500,512
83,32,1.0,0.11405941799998232,"[1, 0, 0, 0, 0]",exponential,2500,0.005,0.001,2498.5746637461903,2500,512
84,64,0.0,0.13996816299999182,"[1, 0, 1, 0, 1]",exponential,2500,0.005,0.001,2498.251010041164,2500,512
85,128,0.0,0.17057019499998205,"[0, 1, 0, 1, 1]",exponential,2500,0.005,0.001,2497.8687814975683,2500,512
86,256,1.0,0.20779665099999534,"[1, 0, 0, 0, 0]",exponential,2500,0.005,0.001,2497.4038907530567,2500,512
87,512,7.0,0.26402721699997755,"[1, 1, 0, 1, 0]",exponential,2500,0.005,0.001,2496.7018372783036,2500,512
88,0,8.0,8.815999999001178e-05,"[1, 0, 1, 1, 0]",exponential,5000,0.005,0.001,4999.997796000486,5000,512
89,1,7.0,0.00035242699999571414,"[0, 0, 1, 1, 0]",exponential,5000,0.005,0.001,4999.9911893327635,5000,512
90,2,4.0,0.030274402999992844,"[0, 0, 0, 1, 0]",exponential,5000,0.005,0.001,4999.2431972058275,5000,512
91,4,0.0,0.060305535999987114,"[0, 0, 1, 1, 1]",exponential,5000,0.005,0.001,4998.492588874511,5000,512
92,8,5.0,0.08966744800000015,"[0, 0, 0, 0, 1]",exponential,5000,0.005,0.001,4997.758816240612,5000,512
93,16,5.0,0.11982605299999705,"[0, 0, 0, 0, 1]",exponential,5000,0.005,0.001,4997.005245888495,5000,512
94,32,6.0,0.15079127399999948,"[1, 1, 1, 0, 0]",exponential,5000,0.005,0.001,4996.231638918432,5000,512
95,64,10.0,0.18182305599998472,"[0, 1, 1, 0, 1]",exponential,5000,0.005,0.001,4995.456489200477,5000,512
96,128,2.0,0.21575487100000146,"[0, 1, 0, 0, 0]",exponential,5000,0.005,0.001,4994.609036564365,5000,512
97,256,7.0,0.25348003699997435,"[1, 1, 0, 1, 0]",exponential,5000,0.005,0.001,4993.6670131370865,5000,512
98,512,0.0,0.305329372999978,"[0, 0, 0, 0, 0]",exponential,5000,0.005,0.001,4992.37258933769,5000,512
