,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
69,4,0.0,1.0837912639999998,"[0, 1, 1, 0, 1]",25,512,6
70,8,0.0,1.1028744209999997,"[0, 1, 1, 0, 1]",25,512,6
71,16,0.0,1.1232325559999996,"[0, 1, 1, 0, 1]",25,512,6
72,32,0.0,1.1449539299999998,"[0, 1, 1, 0, 1]",25,512,6
73,64,0.0,1.170044962,"[0, 1, 1, 0, 1]",25,512,6
74,128,0.0,1.204740969,"[0, 1, 1, 0, 1]",25,512,6
75,256,0.0,1.25325958,"[0, 1, 1, 0, 1]",25,512,6
76,512,0.0,1.331855595,"[0, 1, 1, 0, 1]",25,512,6
77,0,4.0,1.355452101,"[1, 1, 1, 1, 0]",25,512,7
78,1,2.0,1.3558798249999997,"[1, 0, 1, 1, 0]",25,512,7
79,2,0.0,1.3772103839999996,"[1, 0, 0, 1, 0]",25,512,7
80,4,0.0,1.3987490949999999,"[1, 0, 0, 1, 0]",25,512,7
81,8,0.0,1.4202785469999997,"[1, 0, 0, 1, 0]",25,512,7
82,16,0.0,1.4439481279999997,"[1, 0, 0, 1, 0]",25,512,7
83,32,0.0,1.4686660969999998,"[1, 0, 0, 1, 0]",25,512,7
84,64,0.0,1.4969213419999998,"[1, 0, 0, 1, 0]",25,512,7
85,128,0.0,1.53426954,"[1, 0, 0, 1, 0]",25,512,7
86,256,0.0,1.5862876469999998,"[1, 0, 0, 1, 0]",25,512,7
87,512,0.0,1.6706894859999997,"[1, 0, 0, 1, 0]",25,512,7
88,0,3.0,1.697404384,"[1, 0, 0, 0, 0]",25,512,8
89,1,3.0,1.697844424,"[1, 0, 0, 0, 0]",25,512,8
90,2,0.0,1.723542685,"[1, 0, 0, 1, 0]",25,512,8
91,4,0.0,1.7503983779999999,"[1, 0, 0, 1, 0]",25,512,8
92,8,0.0,1.7758013939999997,"[1, 0, 0, 1, 0]",25,512,8
93,16,0.0,1.8045643459999998,"[1, 0, 0, 1, 0]",25,512,8
94,32,0.0,1.8324869339999998,"[1, 0, 0, 1, 0]",25,512,8
95,64,0.0,1.8648268559999996,"[1, 0, 0, 1, 0]",25,512,8
96,128,0.0,1.906606847,"[1, 0, 0, 1, 0]",25,512,8
97,256,0.0,1.9663074629999997,"[1, 0, 0, 1, 0]",25,512,8
98,512,0.0,2.0640285279999997,"[1, 0, 0, 1, 0]",25,512,8
99,0,4.0,2.090199243,"[0, 1, 0, 0, 0]",25,512,9
100,1,4.0,2.0907269939999997,"[0, 1, 0, 0, 0]",25,512,9
101,2,4.0,2.1173533339999997,"[0, 1, 0, 0, 0]",25,512,9
102,4,2.0,2.143801367,"[1, 1, 0, 1, 0]",25,512,9
103,8,0.0,2.170717207,"[1, 0, 0, 1, 0]",25,512,9
104,16,0.0,2.201684944,"[1, 0, 0, 1, 0]",25,512,9
105,32,0.0,2.2337433549999997,"[1, 0, 0, 1, 0]",25,512,9
106,64,0.0,2.273504407,"[1, 0, 0, 1, 0]",25,512,9
107,128,0.0,2.3196564879999997,"[1, 0, 0, 1, 0]",25,512,9
108,256,0.0,2.38566945,"[1, 0, 0, 1, 0]",25,512,9
109,512,0.0,2.496586271,"[1, 0, 0, 1, 0]",25,512,9
110,0,0.0,2.526549491,"[0, 1, 1, 0, 1]",25,512,10
111,1,0.0,2.527041035,"[0, 1, 1, 0, 1]",25,512,10
112,2,0.0,2.5584578899999997,"[0, 1, 1, 0, 1]",25,512,10
113,4,0.0,2.588280694,"[0, 1, 1, 0, 1]",25,512,10
114,8,0.0,2.6185086159999997,"[0, 1, 1, 0, 1]",25,512,10
115,16,0.0,2.6507685619999997,"[0, 1, 1, 0, 1]",25,512,10
116,32,0.0,2.68582216,"[0, 1, 1, 0, 1]",25,512,10
117,64,0.0,2.730189865,"[0, 1, 1, 0, 1]",25,512,10
118,128,0.0,2.782558464,"[0, 1, 1, 0, 1]",25,512,10
119,256,0.0,2.859024891,"[0, 1, 1, 0, 1]",25,512,10
120,512,0.0,2.9794730969999996,"[0, 1, 1, 0, 1]",25,512,10
121,0,3.0,3.0111838449999997,"[1, 1, 0, 0, 0]",25,512,11
122,1,2.0,3.011732426,"[1, 1, 0, 1, 0]",25,512,11
123,2,2.0,3.0433597049999994,"[1, 1, 0, 1, 0]",25,512,11
124,4,2.0,3.0747844769999997,"[1, 1, 0, 1, 0]",25,512,11
125,8,0.0,3.1065498729999996,"[1, 0, 0, 1, 0]",25,512,11
126,16,0.0,3.141325537,"[1, 0, 0, 1, 0]",25,512,11
127,32,0.0,3.1774503679999997,"[1, 0, 0, 1, 0]",25,512,11
128,64,0.0,3.222743487,"[1, 0, 0, 1, 0]",25,512,11
129,128,0.0,3.2792000749999994,"[1, 0, 0, 1, 0]",25,512,11
130,256,0.0,3.35973526,"[1, 0, 0, 1, 0]",25,512,11
131,512,0.0,3.4976962919999997,"[1, 0, 0, 1, 0]",25,512,11
132,0,3.0,3.5330284249999995,"[1, 0, 1, 0, 1]",25,512,12
133,1,3.0,3.533619012,"[1, 0, 1, 0, 1]",25,512,12
134,2,3.0,3.5695559379999997,"[1, 0, 1, 0, 1]",25,512,12
135,4,2.0,3.604045405,"[0, 0, 1, 0, 1]",25,512,12
136,8,0.0,3.6386860939999996,"[0, 1, 1, 0, 1]",25,512,12
137,16,0.0,3.6757149809999996,"[0, 1, 1, 0, 1]",25,512,12
138,32,0.0,3.7170710189999996,"[0, 1, 1, 0, 1]",25,512,12
139,64,0.0,3.7659072389999997,"[0, 1, 1, 0, 1]",25,512,12
140,128,0.0,3.8260357439999995,"[0, 1, 1, 0, 1]",25,512,12
141,256,0.0,3.9140692870000002,"[0, 1, 1, 0, 1]",25,512,12
142,512,0.0,4.059698965,"[0, 1, 1, 0, 1]",25,512,12
143,0,6.0,4.096791018999999,"[1, 1, 1, 1, 1]",25,512,13
144,1,3.0,4.097367353,"[0, 1, 1, 1, 1]",25,512,13
145,2,0.0,4.133618149,"[0, 1, 1, 0, 1]",25,512,13
146,4,0.0,4.1697919709999995,"[0, 1, 1, 0, 1]",25,512,13
147,8,0.0,4.207121968,"[0, 1, 1, 0, 1]",25,512,13
148,16,0.0,4.248920708,"[0, 1, 1, 0, 1]",25,512,13
149,32,0.0,4.293185458,"[0, 1, 1, 0, 1]",25,512,13
150,64,0.0,4.345000745,"[0, 1, 1, 0, 1]",25,512,13
151,128,0.0,4.410684689,"[0, 1, 1, 0, 1]",25,512,13
152,256,0.0,4.502333758,"[0, 1, 1, 0, 1]",25,512,13
153,512,0.0,4.649514871,"[0, 1, 1, 0, 1]",25,512,13
154,0,3.0,4.689698194,"[0, 1, 1, 1, 0]",25,512,14
155,1,3.0,4.690289266,"[0, 1, 1, 1, 0]",25,512,14
156,2,3.0,4.731446954,"[0, 1, 1, 1, 0]",25,512,14
157,4,3.0,4.773912445,"[0, 1, 1, 1, 0]",25,512,14
158,8,0.0,4.81474859,"[0, 1, 1, 0, 1]",25,512,14
159,16,0.0,4.8566780529999996,"[0, 1, 1, 0, 1]",25,512,14
160,32,0.0,4.902263228,"[0, 1, 1, 0, 1]",25,512,14
161,64,0.0,4.956104644,"[0, 1, 1, 0, 1]",25,512,14
162,128,0.0,5.0235276959999995,"[0, 1, 1, 0, 1]",25,512,14
163,256,0.0,5.120144311,"[0, 1, 1, 0, 1]",25,512,14
164,512,0.0,5.279846929,"[0, 1, 1, 0, 1]",25,512,14
165,0,2.0,5.322725118,"[1, 1, 0, 1, 0]",25,512,15
166,1,2.0,5.323384675,"[1, 1, 0, 1, 0]",25,512,15
167,2,0.0,5.366528638,"[1, 0, 0, 1, 0]",25,512,15
168,4,0.0,5.4110734449999995,"[1, 0, 0, 1, 0]",25,512,15
169,8,0.0,5.455328127,"[1, 0, 0, 1, 0]",25,512,15
170,16,0.0,5.505877232,"[1, 0, 0, 1, 0]",25,512,15
171,32,0.0,5.55522081,"[1, 0, 0, 1, 0]",25,512,15
172,64,0.0,5.616382778,"[1, 0, 0, 1, 0]",25,512,15
173,128,0.0,5.691924831,"[1, 0, 0, 1, 0]",25,512,15
174,256,0.0,5.804313023,"[1, 0, 0, 1, 0]",25,512,15
175,512,0.0,5.983209529,"[1, 0, 0, 1, 0]",25,512,15
